1	KILLED	test-activity.R	5.2	R/activity.R	59	numeric+1	1	2
17	KILLED	test-activity.R	5.8	R/activity.R	251	relational/logical	>	>=
44	SURVIVED		214.1	R/blocking.R	55	relational/logical	>	>=
62	KILLED	test-blocking.R	5	R/blocking.R	160	relational/logical	==	!=
73	SURVIVED		206.8	R/blocking.R	279	function swap	all	any
85	SURVIVED		216.1	R/blocking.R	309	relational/logical	||	&&
97	SURVIVED		207.7	R/blocking.R	337	relational/logical	>	>=
114	KILLED	test-blocking.R	4.6	R/blocking.R	441	relational/logical	||	&&
125	KILLED	test-blocking.R	4.6	R/blocking.R	488	relational/logical	==	!=
135	SURVIVED		210.9	R/blocking.R	561	function swap	unique	identity
158	SURVIVED		227.7	R/blocking.R	449	bool flip	FALSE	TRUE
176	KILLED	test-layers.R	58.7	R/combine.R	78	relational/logical	||	&&
201	SURVIVED		228.7	R/combine.R	102	bool flip	FALSE	TRUE
215	SURVIVED		229.1	R/confidence.R	174	numeric+1	0	1
231	SURVIVED		223.1	R/confidence.R	246	function swap	all	any
253	KILLED	test-boundary-cases.R	2.4	R/create_dummy_data.R	102	relational/logical	<	<=
265	KILLED	test-contract.R	1.3	R/create_dummy_data.R	110	relational/logical	!=	==
291	SURVIVED		216	R/create_dummy_data.R	207	relational/logical	<	<=
323	KILLED	test-evaluate.R	32.3	R/evaluate.R	59	function swap	sum	prod
337	SURVIVED		218.4	R/evaluate.R	135	relational/logical	<=	<
355	SURVIVED		229.3	R/evaluate.R	282	relational/logical	==	!=
368	SURVIVED		236.1	R/evaluate.R	295	function swap	max	min
381	SURVIVED		235.3	R/evaluate.R	370	function swap	mean	median
396	SURVIVED		207.7	R/evaluate.R	456	relational/logical	>	>=
419	KILLED	test-generalize.R	4.8	R/generalize.R	181	relational/logical	==	!=
444	KILLED	test-generalize.R	2.6	R/generalize.R	235	numeric+1	1	2
455	KILLED	test-generalize.R	4.6	R/generalize.R	286	relational/logical	>	>=
465	KILLED	test-generalize.R	4.7	R/generalize.R	395	relational/logical	&	|
